X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
109,181,1867972,1868026,1843,171,85,230162,115,135,1356,0,1,40,0.1608,0.526,0.75,0.0531,0.4211,0.6353,0.0,3.2655,1.8573,1.7324,-0.25,-0.0243,1.0,0
41,216,1669152,1669220,6422,278,138,670952,43,126,1358,0,1,40,0.0604,0.4603,0.3886,0.1289,0.6295,0.4927,0.0,3.8077,2.243,1.8325,-0.6114,-0.1838,1.0,0
485,493,1105756,1105768,75,11,12,8268,91,125,1696,0,1,60,0.5719,0.2188,0.6667,0.0047,0.7273,1.0,1.0,1.8751,0.9031,1.0792,0.3333,-0.1388,0.2018,1
833,856,276547,276554,80,24,12,9778,103,143,1692,1,0,143,0.9846,0.5031,0.3043,0.0136,0.9583,0.5833,0.0,1.9031,1.3617,0.8451,-0.6956,-0.0451,0.2806,1
277,292,1151809,1151838,217,32,32,25231,107,126,1376,0,1,40,0.4026,0.5012,0.5172,0.0109,0.4688,0.9063,1.0,2.3365,1.1761,1.4624,0.4828,-0.0916,0.7079,1
1568,1578,698409,698420,89,12,11,8193,78,103,1652,1,0,80,0.0896,0.1909,0.9091,0.006,0.8333,1.0,1.0,1.9494,1.0,1.0414,0.0909,-0.2808,0.2173,1
147,172,2975077,2975090,170,28,14,20714,114,132,1356,0,1,40,0.2168,0.4769,0.52,0.0184,0.8929,0.9286,0.0,2.2304,1.3979,1.1139,-0.48,-0.0481,0.5378,0
39,214,1174946,1175131,13601,805,503,1579135,25,141,1400,0,1,40,0.0557,0.5799,0.9459,0.125,0.2174,0.3678,1.0,4.1336,2.243,2.2672,0.054,-0.0929,1.0,0
41,202,920427,920489,5993,214,130,589956,132,132,1358,0,1,40,0.0604,0.3996,0.3851,0.1186,0.7523,0.4769,0.0,3.7776,2.2068,1.7924,-0.6149,-0.2309,1.0,0
1673,1687,1891620,1891638,86,23,18,6442,28,101,1692,1,0,70,0.0059,0.6587,0.7778,0.0083,0.6087,1.0,1.0,1.9345,1.1461,1.2553,0.2222,-0.4148,0.417,1
325,361,58567,58747,2059,134,200,374117,169,199,1387,0,1,40,0.4686,0.6823,0.2,0.026,0.2687,0.9,1.0,3.3137,1.5563,2.2553,0.8,0.4195,1.0,1
39,191,1661425,1661593,12509,622,374,1456542,27,141,1400,0,1,40,0.0557,0.5101,0.9048,0.1086,0.2444,0.4492,1.0,4.0972,2.1818,2.2253,0.0952,-0.0903,1.0,0
41,185,2460355,2460408,5357,181,90,764,123,134,1402,0,1,40,0.0585,0.2981,0.3681,0.1027,0.7956,0.5889,0.0,3.7289,2.1584,1.7243,-0.6319,-0.9989,1.0,0
39,186,2311225,2311296,5617,268,152,598575,42,135,1404,0,1,40,0.0556,0.4618,0.483,0.1047,0.5485,0.4671,0.0,3.7495,2.1673,1.8513,-0.517,-0.1675,1.0,0
1505,1525,4373281,4373312,456,32,31,49848,92,124,1668,0,1,40,0.1715,0.2645,0.6452,0.012,0.625,1.0,1.0,2.659,1.301,1.4914,0.3548,-0.146,0.8927,1
747,758,949136,949144,71,14,8,7768,96,126,1698,0,1,60,0.8799,0.1932,0.7273,0.0065,0.7857,1.0,0.0,1.8513,1.0414,0.9031,-0.2727,-0.1452,0.1934,1
1094,1108,75122,75139,197,14,17,22098,89,132,1353,0,1,185,0.3622,0.1723,0.8235,0.0104,1.0,1.0,1.0,2.2945,1.1461,1.2305,0.1765,-0.1236,0.3945,1
41,211,1484624,1484688,6337,344,174,654684,41,127,1358,0,1,40,0.0604,0.4176,0.3765,0.1252,0.4942,0.3678,0.0,3.8019,2.2304,1.8062,-0.6235,-0.1929,1.0,0
39,212,1814642,1814708,6525,278,134,674367,38,124,1358,0,1,40,0.0574,0.4285,0.3815,0.1274,0.6223,0.4925,0.0,3.8146,2.238,1.8195,-0.6185,-0.1926,1.0,0
1109,1144,401768,401951,4298,188,189,515942,6,148,1353,0,1,70,0.3089,0.329,0.1913,0.0259,0.1862,0.9682,1.0,3.6333,1.5441,2.2624,0.8087,-0.0622,1.0,1
0,828,468317,468520,20726,1193,709,2499819,25,143,1402,0,1,40,0.0,0.8767,0.2452,0.5906,0.6941,0.2863,0.0,4.3165,2.918,2.3075,-0.7548,-0.0577,1.0,0
41,212,1505915,1505982,6494,315,145,671353,38,127,1356,0,1,40,0.0605,0.4332,0.3918,0.1261,0.5429,0.4621,0.0,3.8125,2.233,1.8261,-0.6082,-0.1923,1.0,0
0,17,889681,889721,247,46,61,31824,121,141,1353,0,1,70,0.0,0.6368,0.425,0.0126,0.3696,0.6557,1.0,2.3927,1.2305,1.6021,0.575,0.0066,0.9254,1
1033,1045,938565,938574,62,17,10,6165,87,111,1360,1,0,300,0.4632,0.4259,0.75,0.0088,0.7059,0.9,0.0,1.7924,1.0792,0.9542,-0.25,-0.2232,0.215,1
1023,1050,949856,949874,209,62,37,28592,121,151,1370,1,0,69,0.4672,0.57,0.6667,0.0197,0.4355,0.4865,0.0,2.3201,1.4314,1.2553,-0.3333,0.0688,0.7729,1
64,203,7765518,7765576,4364,185,108,479531,74,132,1360,0,1,40,0.0941,0.4587,0.4173,0.1022,0.7513,0.537,0.0,3.6399,2.143,1.7634,-0.5827,-0.1415,1.0,0
136,151,1294504,1294539,308,30,35,31689,79,124,1698,0,1,60,0.1602,0.4133,0.4286,0.0088,0.5,1.0,1.0,2.4885,1.1761,1.5441,0.5714,-0.1962,0.8153,1
41,190,2254407,2254463,4995,232,124,527906,39,127,1402,0,1,40,0.0585,0.4014,0.3758,0.1063,0.6422,0.4516,0.0,3.6985,2.1732,1.7482,-0.6242,-0.1743,1.0,0
95,169,338690,338716,563,109,59,66987,107,135,1358,0,1,175,0.1399,0.7074,0.3514,0.0545,0.6789,0.4407,0.0,2.7505,1.8692,1.415,-0.6486,-0.0705,1.0,1
86,215,7325485,7325536,4346,163,89,473046,65,127,1360,0,1,40,0.1265,0.3394,0.3954,0.0949,0.7914,0.573,0.0,3.6381,2.1106,1.7076,-0.6047,-0.1496,1.0,0
1247,1273,120090,120110,301,38,46,51176,160,182,1353,0,1,200,0.1183,0.4211,0.7692,0.0192,0.6842,0.4348,0.0,2.4786,1.415,1.301,-0.2308,0.3283,0.8102,1
259,270,88576,88613,204,28,37,16370,71,93,1692,0,1,300,0.3061,0.4988,0.2973,0.0065,0.3929,1.0,1.0,2.3096,1.0414,1.5682,0.7027,-0.3731,0.6678,1
43,195,1636571,1636729,13057,562,361,1507763,32,140,1404,0,1,40,0.0613,0.4563,0.962,0.1083,0.2705,0.4377,1.0,4.1158,2.1818,2.1987,0.038,-0.0979,1.0,0
1361,1371,3041016,3041025,56,12,9,6345,102,127,1692,1,0,70,0.3794,0.3778,0.9,0.0059,0.8333,1.0,0.0,1.7482,1.0,0.9542,-0.1,-0.1148,0.1954,1
570,585,155584,155593,74,16,11,15069,196,210,1387,0,1,40,0.8219,0.4518,0.6,0.0108,0.9375,0.8182,0.0,1.8692,1.1761,0.9542,-0.4,0.5909,0.2469,0
434,446,2688956,2688969,119,16,13,13108,81,132,1658,1,0,100,0.5235,0.2372,0.9231,0.0072,0.75,1.0,1.0,2.0756,1.0792,1.1139,0.0769,-0.1394,0.2739,1
1087,1119,80993,80996,64,32,7,9247,92,190,1692,1,0,70,0.6773,0.3333,0.0938,0.0189,1.0,0.4286,0.0,1.8062,1.5051,0.4771,-0.9063,0.1288,0.2018,1
39,68,1327718,1327750,539,94,63,68416,119,135,1402,0,1,40,0.0556,0.4192,0.9063,0.0207,0.3085,0.5079,1.0,2.7316,1.4624,1.5051,0.0938,-0.0083,0.9848,0
381,425,2601604,2601606,82,44,4,10361,58,188,1374,0,1,40,0.5546,0.0682,0.0454,0.032,1.0,0.5,0.0,1.9138,1.6435,0.301,-0.9546,-0.0129,0.1934,1
41,185,1934838,1934989,9576,564,343,1098162,37,141,1402,0,1,40,0.0585,0.5596,0.9536,0.1027,0.2553,0.4402,1.0,3.9812,2.1584,2.179,0.0464,-0.1041,1.0,0
19,33,1143416,1143429,114,16,15,13193,110,125,1373,0,1,40,0.0277,0.3736,0.9286,0.0102,0.875,0.8667,0.0,2.0569,1.1461,1.1139,-0.0714,-0.0959,0.3097,1
25,34,281358,281513,891,36,155,76438,70,103,1353,0,1,185,0.0369,0.3613,0.0581,0.0066,0.25,1.0,1.0,2.9499,0.9542,2.1903,0.9419,-0.3298,0.9993,1
899,907,3283148,3283163,68,12,15,7836,107,127,1692,0,1,70,0.9279,0.4333,0.5333,0.0047,0.6667,1.0,1.0,1.8325,0.9031,1.1761,0.4667,-0.0997,0.2288,1
973,989,707576,707600,150,47,28,19311,120,141,1374,0,1,40,0.5604,0.6094,0.6667,0.0116,0.3404,0.8571,1.0,2.1761,1.2041,1.3802,0.3333,0.0058,0.633,1
39,216,2648545,2648612,6309,269,140,660758,45,127,1358,0,1,40,0.0574,0.468,0.3785,0.1303,0.658,0.4786,0.0,3.8,2.248,1.8261,-0.6215,-0.1818,1.0,0
0,13,438867,438919,260,23,56,27344,46,127,1353,0,1,70,0.0,0.6154,0.25,0.0096,0.5652,0.9286,1.0,2.415,1.1139,1.716,0.75,-0.1784,0.9236,1
41,209,4639210,4639275,5828,296,169,618846,48,126,1358,0,1,40,0.0604,0.4663,0.3869,0.1237,0.5676,0.3846,0.0,3.7655,2.2253,1.8129,-0.6131,-0.1704,1.0,0
1381,1447,3515903,3516104,6965,271,317,650853,68,124,1686,1,0,70,0.2835,0.475,0.3284,0.0391,0.2435,0.6341,1.0,3.8429,1.8195,2.3032,0.6716,-0.27,1.0,1
39,212,2070134,2070204,6399,287,132,666455,41,126,1356,0,1,40,0.0575,0.4716,0.4046,0.1276,0.6028,0.5303,0.0,3.8061,2.238,1.8451,-0.5954,-0.1863,1.0,0
373,386,1058240,1058279,308,29,39,37264,113,132,1374,0,1,40,0.5429,0.3925,0.3333,0.0095,0.4483,1.0,1.0,2.4885,1.1139,1.5911,0.6667,-0.0548,0.7966,1
43,176,366881,366932,4048,178,96,421512,50,126,1360,0,1,40,0.0632,0.4032,0.3835,0.0978,0.7472,0.5313,0.0,3.6072,2.1239,1.7076,-0.6165,-0.1865,1.0,0
1333,1347,1436808,1436820,121,17,12,11890,67,125,1356,0,1,40,0.0133,0.2798,0.8571,0.0103,0.8235,1.0,0.0,2.0828,1.1461,1.0792,-0.1429,-0.2323,0.2901,1
1063,1072,1915213,1915220,49,9,7,6391,118,141,1358,0,1,50,0.4212,0.2222,0.7778,0.0066,1.0,1.0,0.0,1.6902,0.9542,0.8451,-0.2222,0.019,0.1687,1
39,197,1913522,1913670,12834,570,356,1487763,37,141,1400,0,1,40,0.0557,0.4512,0.9367,0.1129,0.2772,0.4157,0.0,4.1084,2.1987,2.1703,-0.0633,-0.0944,1.0,0
190,192,1729556,1729557,2,2,1,255,126,133,1356,0,1,40,0.2802,0.0,0.5,0.0015,1.0,1.0,0.0,0.301,0.301,0.0,-0.5,-0.0039,0.119,0
